,Member_number,Date,itemDescription,year,month,day,day_of_week
33512,4041,2014-04-25,canned fish,2014,4,25,4
33546,3431,2014-07-31,canned fish,2014,7,31,3
33547,2166,2014-07-14,canned fish,2014,7,14,0
34132,4198,2014-10-11,canned fish,2014,10,11,5
34174,3716,2014-05-13,canned fish,2014,5,13,1
34311,2092,2014-01-04,canned fish,2014,1,4,5
34390,2970,2014-11-11,canned fish,2014,11,11,1
34436,1727,2014-11-08,canned fish,2014,11,8,5
34633,1332,2015-03-04,canned fish,2015,3,4,2
34769,3175,2015-11-23,canned fish,2015,11,23,0
34992,1615,2015-03-12,canned fish,2015,3,12,3
35392,2407,2014-03-17,canned fish,2014,3,17,0
35585,3839,2014-08-13,canned fish,2014,8,13,2
36019,1943,2015-01-14,canned fish,2015,1,14,2
36073,4742,2015-11-15,canned fish,2015,11,15,6
36082,1748,2015-08-03,canned fish,2015,8,3,0
36117,4918,2015-01-27,canned fish,2015,1,27,1
36362,3890,2015-10-26,canned fish,2015,10,26,0
36443,2357,2015-03-08,canned fish,2015,3,8,6
36619,3980,2015-09-16,canned fish,2015,9,16,2
36924,1182,2014-11-16,canned fish,2014,11,16,6
37436,4671,2014-08-13,canned fish,2014,8,13,2
37530,2910,2014-03-28,canned fish,2014,3,28,4
37613,4897,2014-11-25,canned fish,2014,11,25,1
37763,3188,2014-08-05,canned fish,2014,8,5,1
38187,3956,2014-07-08,canned fish,2014,7,8,1
38247,4484,2014-06-06,canned fish,2014,6,6,4
38468,1653,2014-12-20,canned fish,2014,12,20,5
38499,3207,2014-06-12,canned fish,2014,6,12,3
38698,3447,2014-06-30,canned fish,2014,6,30,0
38725,4164,2014-09-25,canned fish,2014,9,25,3
